,yaw_dumbbell,pitch_dumbbell,roll_dumbbell,magnet_forearm_z,magnet_arm_z,magnet_arm_y,magnet_arm_x,accel_arm_z,accel_arm_y,accel_arm_x,gyros_arm_z,gyros_arm_y,gyros_arm_x,total_accel_arm,yaw_arm,pitch_arm,roll_arm,total_accel_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,magnet_forearm_y,magnet_forearm_x,accel_forearm_z,accel_forearm_y,accel_forearm_x,gyros_forearm_z,gyros_forearm_y,gyros_forearm_x,magnet_belt_z,total_accel_forearm,pitch_forearm,roll_forearm,magnet_dumbbell_z,magnet_dumbbell_y,magnet_dumbbell_x,accel_dumbbell_z,accel_dumbbell_y,accel_dumbbell_x,yaw_forearm,magnet_belt_y,accel_belt_z,total_accel_belt,magnet_belt_x,pitch_belt,num_window,roll_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,yaw_belt,labelA,labelB,labelC,labelD,labelE,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2011-12-05 11:23:51.788,-84.90845577666666,-70.4698762,13.11298092522289,472.66666666666674,514.0,339.3333333333333,-368.33333333333326,-124.66666666666669,109.66666666666669,-289.0,-0.02,-0.013333333333333334,0.013333333333333334,34.0,-161.0,22.5,-128.0,25.66666666666667,0.0,-0.02,0.0,657.6666666666666,-17.666666666666668,-214.66666666666663,203.3333333333333,193.3333333333333,-0.013333333333333334,-0.006666666666666667,0.02666666666666667,-309.6666666666667,36.0,-63.90005691735921,28.334740220716405,-63.97763744291017,295.6666666666667,-558.3333333333334,-190.0,46.71198077874317,-156.33333333333334,-152.66666666666666,602.3333333333334,22.33171952555869,3.0,-4.0,8.06974106662918,10.999925182318918,1.4135102018442054,0.006666666666666667,0.0,-0.02,-20.998894105224146,4.335616562206444,-94.40009517021869,1,0,0,0,0,1.5853962271476756,-0.1829348015824995,0.9544341273782433,-0.3389122725654842,-0.24564050255327194,-0.2000758506904168,-0.02910437878358489
2011-12-05 11:23:52.038,-84.86334149,-70.411177175,13.42642833506265,471.0,509.0,340.5,-373.0,-123.0,111.0,-289.0,0.01,-0.03,0.01,34.0,-161.0,22.1,-128.0,25.66666666666667,0.0,-0.02,-0.01,656.5,-16.5,-214.0,206.0,189.0,-0.01,-0.01,0.02,-306.0,36.0,-63.902620578951655,28.079148811683407,-64.63099060471876,297.5,-553.0,-190.0,47.694303638736,-156.33333333333334,-152.0,602.0,22.46969517546703,3.0,-6.0,8.055741042900856,11.31892057351315,1.4803648263463427,0.02,0.01,-0.025,-21.511825598479792,2.3486624164849466,-94.39733332713543,1,0,0,0,0,1.5879004167832278,-0.1810124095935206,0.9504452118600362,-0.32964499874054526,-0.27355950018265063,-0.21093915246622563,-0.03194753271732981
2011-12-05 11:23:52.288,-84.80410289857143,-70.54084069714284,13.019749222551814,473.4285714285714,513.5714285714286,339.0,-369.71428571428567,-123.28571428571428,110.42857142857143,-288.7142857142857,-0.005714285714285714,-0.028571428571428574,0.017142857142857144,34.0,-161.0,21.714285714285715,-128.0,25.66666666666667,0.0,-0.02,0.0,657.4285714285714,-14.571428571428573,-214.42857142857144,204.28571428571428,192.57142857142856,-0.02,-0.005714285714285713,0.021428571428571432,-313.14285714285717,36.0,-63.822112091942316,27.68155984473583,-66.6374759764512,294.57142857142856,-555.5714285714286,-190.0,47.52248351208344,-156.33333333333334,-152.0,602.0,22.215408035665234,3.0,-2.142857142857143,8.146924297552937,13.045256016848917,1.435064092826697,0.022857142857142857,0.0,-0.017142857142857144,-21.262381141282304,3.2514215336162358,-94.40540483551267,1,0,0,0,0,1.5827662076469984,-0.18408871654866427,0.9545365371323629,-0.337542762641808,-0.24933467787154476,-0.1972326077302654,-0.030358059593071376
2011-12-05 11:23:52.538,-84.82103628714286,-70.50227546285714,13.348086858812481,473.1428571428572,511.71428571428567,337.7142857142857,-371.0,-123.0,109.85714285714286,-288.42857142857144,-0.025714285714285717,-0.008571428571428572,0.02,34.0,-161.0,21.314285714285713,-128.71428571428572,25.66666666666667,0.005714285714285714,-0.02,-0.011428571428571429,655.5714285714286,-13.857142857142858,-214.7142857142857,203.57142857142856,192.57142857142856,-0.017142857142857144,-0.008571428571428572,0.011428571428571429,-311.42857142857144,36.0,-63.968486621687724,27.14321354229595,-67.27833384619616,295.85714285714283,-554.4285714285714,-190.0,47.218546760630886,-156.33333333333334,-151.0,599.1428571428571,21.449039329034576,3.0,-2.8571428571428568,8.134758796804299,11.090011875395396,1.4861868567316836,0.005714285714285714,0.002857142857142857,-0.008571428571428572,-21.181064558673004,3.730439539521119,-94.39170363383889,1,0,0,0,0,1.5811619374714703,-0.1812324696021827,0.9576319967945601,-0.3429627644569162,-0.24166404063493396,-0.19782029265391848,-0.02730525257429828
2011-12-05 11:23:52.788,-84.76608293,-70.55844635,13.17917712411221,473.5,511.5,335.75,-373.25,-123.75,110.25,-289.0,-0.02,-0.02,0.025,34.0,-161.0,20.875,-129.0,25.66666666666667,0.0,-0.02,0.0,654.5,-11.75,-214.0,206.25,193.0,-0.015,-0.025,0.022500000000000003,-310.5,36.0,-63.8844741322163,26.90793321172652,-67.42671203209626,299.0,-555.75,-190.0,47.37619900022037,-156.33333333333334,-151.0,605.25,21.159825207355162,3.0,-4.25,8.10101622560931,12.318482611717213,1.5800757189999843,0.02,0.005,-0.02,-20.942483226910966,3.4482761195064087,-94.3860189096485,1,0,0,0,0,1.5834010600217177,-0.1837036152897846,0.9556909731308479,-0.3355228358073866,-0.25204620804011485,-0.20385424584639286,-0.026290186821117948
2011-12-05 11:23:53.038,-84.82959923333333,-70.55749697833333,12.8982124239186,471.66666666666674,520.1666666666666,339.1666666666667,-367.66666666666674,-125.33333333333331,109.0,-289.5,-0.0033333333333333327,-0.016666666666666666,-0.006666666666666667,34.0,-161.0,20.683333333333334,-129.0,25.66666666666667,0.0,-0.02,-0.013333333333333334,659.1666666666666,-12.666666666666664,-216.3333333333333,204.3333333333333,192.0,-0.016666666666666666,-0.008333333333333333,0.021666666666666667,-314.5,36.0,-63.66703240662153,26.82599885679025,-66.12357776713327,294.0,-556.1666666666666,-190.0,47.11039794112615,-156.33333333333334,-151.0,601.1666666666666,21.34453174887451,3.0,-3.0,8.148438844798722,13.45395155688579,1.511038575460939,0.02666666666666667,0.0033333333333333327,-0.01833333333333333,-20.579368387124283,3.9415657427407074,-94.38694384649365,1,0,0,0,0,1.5802313474405079,-0.18289580342509576,0.957002451077413,-0.3412457208389391,-0.2289201832996769,-0.19813788020880826,-0.027692885555676144
2011-12-05 11:23:53.288,-84.87807081444444,-70.44550218,13.35272230164295,470.4444444444445,511.66666666666674,339.22222222222223,-370.77777777777777,-124.22222222222223,110.66666666666669,-289.8888888888889,-0.014444444444444447,-0.02,0.021111111111111112,34.0,-161.22222222222226,20.3,-129.66666666666666,25.66666666666667,0.0,-0.02,-0.011111111111111113,653.8888888888888,-14.0,-214.3333333333333,204.44444444444446,192.22222222222226,-0.013333333333333329,-0.0066666666666666645,-0.0011111111111111113,-313.0,36.0,-63.80651037918937,26.567859478566064,-65.22226456773063,293.8888888888889,-556.4444444444445,-190.0,46.99017242858753,-156.33333333333334,-150.33333333333334,601.7777777777778,21.08728461902143,3.0,-1.0,8.109143623565366,11.999356103261423,1.4129341625022789,0.011111111111111113,0.004444444444444445,-0.02333333333333333,-20.90154737581208,3.78146898755557,-94.33616165118084,1,0,0,0,0,1.5756313208110058,-0.1815057524099879,0.9541835723177879,-0.3412147838747573,-0.2260192513574322,-0.1921098424177908,-0.03502760520622501
2011-12-05 11:23:53.538,-84.75047906100001,-70.59786176200002,13.054550254556267,463.7,508.9,338.2,-369.2,-123.4,109.9,-288.9,-0.015,-0.024,0.002,34.0,-161.8,19.95,-129.8,25.66666666666667,-0.004,-0.016,-0.002,654.8,-12.5,-215.3,205.1,192.3,-0.015000000000000003,-0.006,0.025,-314.1,36.0,-63.844229240664795,26.137529269449928,-67.63733282299451,294.8,-557.2,-190.0,47.49969610817727,-156.33333333333334,-150.0,600.1,21.04308016312616,3.0,-1.8,7.9107697665248065,13.972613787062016,1.3680402277735628,0.0009999999999999998,0.01,-0.016,-20.406960058098026,3.2499057725604286,-94.24653316343411,1,0,0,0,0,1.5684264332522442,-0.17736333799232043,0.9538701680540635,-0.3400660229762342,-0.19437223433527656,-0.2044016155087426,-0.03725096682126516
2011-12-05 11:23:53.788,-85.066981535,-70.19857024000001,13.345801379313443,467.0,510.0,337.0,-369.5,-126.0,109.5,-289.0,-0.02,-0.02,0.01,34.0,-162.0,19.45,-130.0,25.66666666666667,0.0,-0.02,0.0,656.0,-10.5,-215.5,205.0,192.0,-0.04,-0.01,0.01,-313.5,36.0,-63.78309480217932,25.319853409502258,-68.07397378054635,294.0,-554.5,-190.0,47.9898170714559,-156.33333333333334,-149.0,600.5,21.79544559946359,3.0,-3.0,7.627381363022097,12.717742486416244,1.2932439818769736,0.0,0.0,-0.025,-18.9031493169639,3.1692250886499687,-94.16177651391281,1,0,0,0,0,1.554363206725584,-0.17639924463351575,0.9557114592301151,-0.3147628371023885,-0.15032178337828306,-0.2046931692002647,-0.04482079918237088
2011-12-05 11:23:54.038,-84.2175218475,-70.97141944500002,13.957964582653043,472.0,517.0,337.5,-368.0,-123.75,109.75,-287.75,-0.0175,-0.02,0.02,34.0,-162.0,19.125,-130.5,25.66666666666667,-0.015,-0.02,-0.01,653.5,-16.0,-215.0,204.5,191.75,-0.037500000000000006,-0.025,-0.005,-303.75,36.0,-63.82679773273682,24.807201801493903,-66.23529052850958,296.25,-555.25,-190.0,48.84182149668295,-156.33333333333334,-149.0,597.5,21.84659807327033,3.0,-2.25,7.453543706793204,13.211439159225748,1.256821624721079,0.0175,0.0,-0.02,-18.813014571182002,3.086679471547093,-94.11574911258242,1,0,0,0,0,1.5484680050001836,-0.17226729505556132,0.9507774077819706,-0.30671218465732114,-0.13920173782215595,-0.20058036305865726,-0.045921637462088556
